2026-01-20 19:57:00.203; VERBOSE; ScenarioProfile; 24820; 3876] (ProfileHelper)SetCache: Enter
2026-01-20 19:57:00.203; VERBOSE; ScenarioProfile; 24820; 3876] (ProfileHelper)SetCache: wait lock_guard
2026-01-20 19:57:00.203; VERBOSE; ScenarioProfile; 24820; 3876] (ProfileHelper)SetCache: pass lock_guard
2026-01-20 19:57:00.203; VERBOSE; ScenarioProfile; 24820; 3876] (JsonHelper)LoadJsonFile: Enter
2026-01-20 19:57:00.204; INFO; GameVisual; 24820; 35232] GameVisual::ResumeSetGVMode(): Try Check IsUserLoggedIn count: 1.

2026-01-20 19:57:00.204; VERBOSE; ScenarioProfile; 24820; 3876] (JsonHelper)LoadJsonFile: Finish
2026-01-20 19:57:00.204; VERBOSE; ScenarioProfile; 24820; 3876] (ProfileHelper)SetCache: AppTag :SystemFeature_TouchPad, AppType :Service_App, AppUID :{e7d986da-d5db-45f4-9d7a-47ee736f55e3}, Mode :1, ModeKey :1,
2026-01-20 19:57:00.204; VERBOSE; ScenarioProfile; 24820; 3876] (JsonHelper)SaveJsonFile: Enter
2026-01-20 19:57:00.207; VERBOSE; ScenarioProfile; 24820; 3876] (JsonHelper)SaveJsonFile: Finish
2026-01-20 19:57:00.207; VERBOSE; ScenarioProfile; 24820; 3876] (ProfileHelper)SetCache: Finish
2026-01-20 19:57:00.207; VERBOSE; GameLibraryPlugin; 24820; 26892] Device plugout
2026-01-20 19:57:00.207; VERBOSE; ScenarioProfile; 24820; 3876] (JsonHelper)LoadJsonFile: Enter
2026-01-20 19:57:00.207; VERBOSE; HWPlugin; 24820; 22976] HWPlugin::OnDeviceChange(): DBT_DEVICEREMOVECOMPLETE. 
2026-01-20 19:57:00.207; VERBOSE; ScenarioProfile; 24820; 3876] (JsonHelper)LoadJsonFile: Finish
2026-01-20 19:57:00.207; VERBOSE; ScenarioProfile; 24820; 3876] (ScenarioProfile)DoScenarioProfileReceiveServiceMessage: Active profile : , file name : 
2026-01-20 19:57:00.207; WARNING; StreamPlugin; 24820; 3876] StreamPlugin::DoCommand, connection peer 0x01 is not connected
2026-01-20 19:57:00.207; ERROR; ScenarioProfile; 24820; 3876] (ScenarioProfile)DoScenarioProfileReceiveServiceMessage: PostNotice fail.(0xa0800002). Data : {
  AppTag:SystemFeature_TouchPad,
  App_GUID:{e7d986da-d5db-45f4-9d7a-47ee736f55e3},
  App_Profile:1,
  Command:AppProfileChange,
  Event:ScenarioProfileReceiveServiceMessage,
}
2026-01-20 19:57:00.207; VERBOSE; ScenarioProfile; 24820; 3876] ScenarioProfile::DoScenarioProfileReceiveServiceMessage End
2026-01-20 19:57:00.207; INFO; StreamPlugin; 24820; 3876] StreamPlugin::SendRequest, (Reply)From SystemFeature(0x04) to {4DC2157A-9687-45EB-982E-E5328E617509}, result: 0x00000000
2026-01-20 19:57:00.207; VERBOSE; StreamPlugin; 24820; 3876] StreamPlugin::SendRequest, reply: {
  Result:1,
}
2026-01-20 19:57:00.211; INFO; SystemFeature; 24820; 3876] GetSupportFeatures -> [ROGKey] is supported {index: 4000, <0x000130023>} = 10000 
2026-01-20 19:57:00.211; VERBOSE; SystemFeature; 24820; 3876] [ROGKey] IsVisible() by normal : 0, bios : 1
2026-01-20 19:57:00.551; INFO; SystemFeature; 24820; 3876] [KeyboardMonitor] is NOT support (Cannot find touchpad)
2026-01-20 19:57:00.551; VERBOSE; SystemFeature; 24820; 3876] OnDeviceChange : 32772
2026-01-20 19:57:00.551; VERBOSE; SystemFeature; 24820; 3876] OnDeviceChange : 32768
2026-01-20 19:57:00.551; VERBOSE; SystemFeature; 24820; 3876] OnDeviceChange : 32772
2026-01-20 19:57:00.551; VERBOSE; SystemFeature; 24820; 3876] OnDeviceChange : 7
2026-01-20 19:57:00.551; INFO; SystemFeature; 24820; 3876] [TouchPad] NotifyConsoleStatusChanged Exist
2026-01-20 19:57:00.551; VERBOSE; SystemFeature; 24820; 3876] OnNotify SystemFeature Console : {
  Cmd:FeatureChanged,
  Disabled:0,
  SFeatureType:13,
  State:1,
  Visibled:1,
}
2026-01-20 19:57:00.551; WARNING; StreamPlugin; 24820; 3876] StreamPlugin::DoCommand, connection peer 0x01 is not connected
2026-01-20 19:57:00.552; VERBOSE; SystemFeature; 24820; 3876] OnNotify MobileControl : {
  Cmd:FeatureChanged,
  Disabled:0,
  SFeatureType:13,
  State:1,
  Visibled:1,
}
2026-01-20 19:57:00.552; INFO; StreamPlugin; 24820; 3876] StreamPlugin::PostNotice, From SystemFeature(0x04) to {F0FCD7F7-D1B4-4617-B58C-D934C5DC9101}(1), notice[Cmd]: FeatureChanged
2026-01-20 19:57:00.552; VERBOSE; SystemFeature; 24820; 3876] OnNotify ScenarioProfile : {
  AppTag:SystemFeature_TouchPad,
  App_GUID:{e7d986da-d5db-45f4-9d7a-47ee736f55e3},
  App_Profile:1,
  Cmd:ScenarioProfileReceiveServiceMessage,
  Command:AppProfileChange,
}
